LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1975,21.583,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1976,20.754999,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1977,18.391001,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1978,19.792,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1979,20,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1980,18.75,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1981,18.254,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1982,20.819,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1983,19.156,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1984,18.674999,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1985,19.608,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1986,18.848,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1987,18.518999,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1988,18.794001,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1989,18.59,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1990,18.181999,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1991,16.016001,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1992,14.259,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1993,13.225,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1994,14.41,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1995,14.478,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1997,15.254,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1998,13.242,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1999,14.286,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2000,17.200001,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2001,14.342,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2002,15,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2003,13.043,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2004,14.353,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2005,15.778,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2006,16.667,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2007,15.4,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2008,11.937,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2009,16.364,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2010,14.043,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2011,15.966,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2012,13.75,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2013,18,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2014,15.385,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2000,23.142,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2001,22.802,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2002,24.489,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2003,21.136999,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2004,22.431,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2005,22.032,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2006,21.855,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2007,21.634001,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2008,20.917,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2009,19.356001,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2010,19.188999,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2011,18.551001,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2012,18.184999,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2013,18.052999,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2014,17.729,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,1999,15.183,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2000,13.599,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2001,13.187,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2002,11.605,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2003,15.205,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2004,11.832,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2005,11.511,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2006,10.253,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2007,9.8739996,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2008,8.9160004,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2009,7.48,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2010,7.0440001,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2011,5.8379998,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2012,6.4109998,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2013,5.9130001,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2014,3.299,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,1997,24.705999,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,1998,24.855,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,1999,24,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2000,23.875,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2001,24.325001,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2002,24.013,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2003,22.502001,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2004,22.718,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2005,21.25,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2006,21.122999,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2007,20.808001,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2008,20.455,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2009,20.132,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2010,18.976999,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2011,19.176001,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2012,19.511,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2013,19.302999,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2014,19.229,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2015,18.627001,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,1996,18.290001,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,1997,18.429001,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,1999,19.030001,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2001,16.877001,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2002,15.951,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2003,15.637,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2004,16.146999,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2005,15.939,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2006,15.352,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2007,16.931999,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2008,17.872999,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2009,15.105,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2010,15.799,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2011,16.33,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2012,15.263,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2013,15.379,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2014,16.254999,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2015,16.455,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2008,10.184,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2009,10.172,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2010,8.8950005,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2011,7.947,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2012,7,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2013,6.7690001,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2014,6.3239999,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1977,27.690001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1978,27.089001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1979,27.169001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1980,26.624001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1982,25.962,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1983,25.632,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1984,23.427,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1986,22.531,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1987,23.613001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1988,23.046,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1989,23.559,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1990,22.862,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1991,21.468,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1992,20.285,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1993,21.985001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1994,23.15,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1995,22.402,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1996,20.583,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1997,21.332001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1998,20.799999,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,1999,21.716,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2000,20.427,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2001,21.239,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2002,20.372999,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2003,20.099001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2004,20.014999,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2005,18.941999,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2006,19.375,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2007,21.377001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2008,21.233999,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2009,19.676001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2010,18.877001,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2011,18.608,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2012,18.726,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2013,20.177999,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2014,19.608999,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,1995,14.571,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,1996,15.63,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,1997,15.38,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,1998,14.574,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,1999,14.32,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2000,14.571,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2001,15.125,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2002,15.205,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2003,15.144,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2004,14.954,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2005,14.389,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2006,13.978,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2007,13.965,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2008,14.344,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2009,14.031,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2010,14.054,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2011,13.951,
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2012,13.673,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1992,27.013,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1993,23.392,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1994,21.025999,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1995,19.982,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1996,20.892,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1997,21.455,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1998,21.164,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1999,21.047001,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2000,20.511,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2001,19.249001,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2002,19.136,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2003,20.398001,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2004,22.509001,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2005,17.302,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2006,19.622,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2007,17.105,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2008,17.441999,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2009,17.045,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2010,16.750999,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2011,16.667,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2012,15.301,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2013,13.857,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2014,17.08,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2004,13.876,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2005,16.667,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2006,11.879,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2007,11.629,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2008,9.5240002,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2009,9.5869999,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2010,12.173,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2011,10.714,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2012,6.8530002,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2013,11.274,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2014,9.0909996,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1989,25.98,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1992,17.391001,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1993,7.9489999,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1994,15.181,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1995,15.754,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1996,17.775,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1998,15.672,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1999,15.301,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2000,14.099,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2001,13.69,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2002,9.1300001,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2003,1.476,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2004,3.0339999,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2005,4.0219998,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2006,0.384,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2007,3.648,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2008,2.221,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2009,3.8759999,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2010,6.382,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2011,6.8639998,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2012,11.332,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2013,8.724,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2014,3.773,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2015,9.5240002,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2004,19.225,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2005,13.199,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2006,12.4,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2007,15.89,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2008,13.329,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2009,15.978,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2010,14.315,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2011,14.08,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2013,14.527,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2014,13.593,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,1994,25.181999,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,1997,21.716999,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2000,19.73,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2003,19.702999,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2004,18.23,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2005,13.793,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2006,14.411,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2007,17.952999,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2008,14.964,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2009,14.887,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2010,12.845,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2011,10.447,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2012,8.3280001,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2013,12.77,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2014,15.173,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1986,17.240999,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1987,15.625,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1989,11.111,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1991,10,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1993,11.504,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1995,14.583,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1998,7.6919999,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2000,8.5190001,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2002,10.345,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2004,6.6669998,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2006,7.6919999,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2008,11.765,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2010,9.9399996,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2012,11.111,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2014,5.5560002,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1975,42.389999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1976,39.742001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1977,40.327,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1978,40.564999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1979,41.313,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1980,41.68,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1981,41.957001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1982,42.159,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1983,41.903,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1984,41.933998,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1985,41.659,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1986,41.605999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1987,41.226002,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1988,41.018002,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1989,40.963001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1990,40.598999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1991,39.898998,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1992,38.884998,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1993,38.451,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1994,37.816002,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1995,37.09,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1996,36.847,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1997,36.521,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1998,35.307999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1999,34.550999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2000,33.859001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2001,33.865002,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2002,32.529999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2003,31.997,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2004,31.087,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2005,32.825001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2006,32.980999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2007,31.742001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2008,30.694,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2009,28.285,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2010,28.684,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2011,27.395,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2012,26.524,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2013,26.587999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2014,25.871,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1985,52.776001,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1992,46.965,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1993,47.259998,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1994,45.506001,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1995,44.181999,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1996,43.283001,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1997,42.215,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1998,42.021999,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1999,41.803001,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2000,41.653999,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2001,40.416,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2002,41.028999,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2003,40.083,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2004,39.624001,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2005,39.617001,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2006,39.773998,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2007,38.161999,
